[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
H1    bull_flag_breakout                230   2.262   2.543  -0.281  47.0%   50.2%   0.9610  dead
H4    sr_flip_support                   283   2.182   2.407  -0.225  42.4%   48.3%   0.9660  dead
H4    round_number_touch                451   2.354   2.555  -0.200  44.6%   48.3%   0.9730  dead
H1    inversion_fvg_bearish            1232   2.445   2.577  -0.133  48.5%   48.0%   0.9730  dead
M15   tweezer_top                      6745   2.169   2.233  -0.063  45.3%   46.0%   0.9765  dead
H1    outside_bar_bear                  775   2.615   2.800  -0.184  45.0%   48.9%   0.9785  dead
M15   outside_bar_bear                 2837   2.375   2.482  -0.107  42.9%   47.6%   0.9785  dead
H1    pdl_touch                         839   2.434   2.616  -0.182  49.2%   48.6%   0.9830  dead
M15   bear_flag_breakout                878   2.327   2.524  -0.197  44.9%   49.0%   0.9835  dead
H1    breaker_resistance_retest         530   2.185   2.425  -0.240  46.0%   48.1%   0.9920  dead
H4    channel_bottom_touch              507   2.245   2.496  -0.251  43.0%   48.8%   0.9950  dead
M15   tweezer_bottom                   6534   2.126   2.205  -0.079  45.6%   47.2%   0.9955  dead
H1    three_black_crows                 157   2.017   2.542  -0.526  45.9%   51.7%   0.9970  dead
------------------------------------------------------------------------------------------------
dead=147  parked_insufficient_n=120  parked_weak_effect=13

registry: output/stage1_EURUSD_confirm_2026-06-12_1342.jsonl
CAVEAT: hypothesis-generating evidence only; verdicts govern what
advances to Stage 2, never what the live agent trades.
