[CANONICAL] Test A Stage 1 — EURUSD, split 2022-01-01..2024-12-31, TFs: D1, H4, H1, M15
  D1: 938 bars
  H4: 4833 bars
  H1: 18730 bars
  M15: 74770 bars

Stage-1 verdict registry
================================================================================================
tf    event_type                          n   evMFE   ctMFE  effect   hit%  ctHit%        p  verdict
D1    outside_bar_bull                   55   2.931   2.854  +0.077  45.5%   53.8%   0.4138  parked_insufficient_n
H4    trendline_break_retest_bullish     83   2.452   2.408  +0.044  39.8%   50.6%   0.4413  parked_insufficient_n
D1    double_top_completion               5   3.372   3.293  +0.080  80.0%   52.0%   0.4473  parked_insufficient_n
D1    choch_bullish                      12   2.641   2.600  +0.041  41.7%   45.0%   0.4538  parked_insufficient_n
H1    liquidity_sweep_low                60   2.742   2.736  +0.006  56.7%   53.3%   0.4643  parked_insufficient_n
D1    bearish_ob_touch                    9   2.433   2.414  +0.019  44.4%   48.9%   0.4758  parked_insufficient_n
D1    shooting_star                      33   3.402   3.373  +0.029  42.4%   47.3%   0.4798  parked_insufficient_n
D1    sr_flip_resistance                 48   2.942   2.919  +0.023  50.0%   44.2%   0.4823  parked_insufficient_n
D1    trendline_resistance_touch         49   3.056   3.070  -0.014  40.8%   50.6%   0.5007  parked_insufficient_n
H1    rising_wedge_breakdown             43   2.468   2.516  -0.049  53.5%   47.9%   0.5197  parked_insufficient_n
H1    descending_triangle_breakout        4   2.916   3.051  -0.136  25.0%   55.0%   0.5202  parked_insufficient_n
D1    demand_zone_touch                   7   3.263   3.317  -0.054  71.4%   54.3%   0.5212  parked_insufficient_n
H4    fib_ext_1618_tag                   41   2.562   2.591  -0.029  41.5%   52.2%   0.5272  parked_insufficient_n
D1    trendline_liquidity_sweep_high      7   2.846   2.880  -0.034  42.9%   51.4%   0.5302  parked_insufficient_n
D1    hammer                             23   2.792   2.851  -0.059  60.9%   48.7%   0.5342  parked_insufficient_n
H4    morning_star                       56   2.503   2.546  -0.043  46.4%   49.6%   0.5457  parked_insufficient_n
H4    double_bottom_completion           36   2.511   2.564  -0.053  50.0%   51.1%   0.5462  parked_insufficient_n
M15   inverse_hs_completion              99   2.578   2.623  -0.045  48.5%   48.1%   0.5492  parked_insufficient_n
D1    trendline_support_touch            52   2.815   2.846  -0.031  44.2%   51.5%   0.5622  parked_insufficient_n
H4    equal_lows_pool                    33   2.685   2.772  -0.087  45.5%   50.9%   0.5622  parked_insufficient_n
D1    bear_flag_breakout                 17   2.942   3.042  -0.100  47.1%   55.3%   0.5727  parked_insufficient_n
D1    inversion_fvg_bearish              63   3.225   3.278  -0.053  60.3%   53.3%   0.5732  parked_insufficient_n
D1    fib_618_tag                        26   2.759   2.864  -0.106  46.2%   43.9%   0.5767  parked_insufficient_n
H4    bos_bearish                        65   2.556   2.623  -0.067  52.3%   46.5%   0.5832  parked_insufficient_n
D1    bullish_ob_touch                    6   3.276   3.594  -0.318  66.7%   53.3%   0.6077  parked_insufficient_n
D1    ote_tag                            26   2.759   2.911  -0.153  46.2%   45.4%   0.6117  parked_insufficient_n
D1    double_bottom_completion            4   2.499   2.989  -0.489  25.0%   45.0%   0.6217  parked_insufficient_n
D1    liquidity_sweep_high                3   2.414   2.912  -0.498  33.3%   40.0%   0.6217  parked_insufficient_n
H4    falling_wedge_breakout             17   2.090   2.231  -0.140  58.8%   45.9%   0.6357  parked_insufficient_n
H4    fib_ext_1272_tag                   86   2.571   2.677  -0.105  52.3%   47.4%   0.6382  parked_insufficient_n
D1    hs_completion                       3   1.882   2.341  -0.459   0.0%   20.0%   0.6547  parked_insufficient_n
D1    bos_bullish                        15   2.513   2.759  -0.246  53.3%   53.3%   0.6702  parked_insufficient_n
D1    falling_wedge_breakout              2   2.252   3.477  -1.226 100.0%   40.0%   0.6737  parked_insufficient_n
D1    ntouch_support_touch               12   2.620   2.889  -0.269  50.0%   46.7%   0.6767  parked_insufficient_n
H4    bos_bullish                        55   2.481   2.640  -0.159  45.5%   50.2%   0.6967  parked_insufficient_n
D1    three_white_soldiers                3   1.462   2.480  -1.019   0.0%   40.0%   0.7046  parked_insufficient_n
H4    symmetrical_triangle_breakout_up      3   2.095   3.103  -1.008 100.0%   60.0%   0.7216  parked_insufficient_n
H4    trendline_break_retest_bearish     74   2.383   2.513  -0.130  40.5%   47.8%   0.7216  parked_insufficient_n
H4    entered_discount                   78   2.332   2.479  -0.148  38.5%   48.7%   0.7306  parked_insufficient_n
H1    hs_completion                      38   2.261   2.475  -0.214  36.8%   53.7%   0.7326  parked_insufficient_n
H4    choch_bearish                      56   2.396   2.618  -0.223  46.4%   49.6%   0.7526  parked_insufficient_n
D1    bos_bearish                        11   2.837   3.310  -0.473  45.5%   58.2%   0.7551  parked_insufficient_n
