event_time,title,k,atr_pips,impulse_pips,atr_mult,direction,risk_pips,pnl_1.5,pnl_2.5
2015-01-09T13:30:00+00:00,Employment Situation (NFP),1,8.823958333333362,-59.70000000000031,6.765671113209787,-1,78.30000000000004,-79.50000000000004,-79.50000000000004
2015-01-16T13:30:00+00:00,Consumer Price Index,1,14.090624999999978,-8.799999999999919,0.6245287203370988,-1,23.800000000000487,-25.000000000000487,-25.000000000000487
2015-01-28T19:00:00+00:00,FOMC Statement (scheduled),1,9.967708333333293,16.799999999999038,1.685442574981622,1,35.30000000000033,-36.500000000000334,-36.500000000000334
2015-02-06T13:30:00+00:00,Employment Situation (NFP),1,9.362499999999903,-48.6999999999993,5.201602136181554,-1,48.60000000000086,31.5999999999995,31.5999999999995
2015-02-26T13:30:00+00:00,Consumer Price Index,1,7.461458333333412,-9.500000000000064,1.2732095490716133,-1,20.600000000001728,29.700000000002593,50.30000000000432
2015-03-06T13:30:00+00:00,Employment Situation (NFP),1,8.544791666666764,-62.40000000000023,7.302694136291544,-1,84.10000000000028,76.80000000000028,76.80000000000028
2015-03-18T18:00:00+00:00,FOMC Statement (scheduled),1,11.1572916666666,74.599999999998,6.686210437867473,1,90.79999999999977,134.99999999999966,225.79999999999944
2015-03-24T12:30:00+00:00,Consumer Price Index,1,15.216666666666457,20.100000000000673,1.3209200438116724,1,71.99999999999874,-73.19999999999874,-73.19999999999874
2015-04-03T12:30:00+00:00,Employment Situation (NFP),1,9.580208333333252,85.90000000000097,8.966402087637452,1,85.90000000000097,8.300000000000065,8.300000000000065
2015-04-17T12:30:00+00:00,Consumer Price Index,1,13.3052083333333,-35.70000000000073,2.6831597901824775,-1,54.80000000000152,22.399999999999178,22.399999999999178
2015-04-29T18:00:00+00:00,FOMC Statement (scheduled),1,13.830208333333431,-14.600000000000168,1.055660164193723,-1,28.500000000000192,20.799999999999798,20.799999999999798
2015-05-08T12:30:00+00:00,Employment Situation (NFP),1,21.979166666666696,-40.599999999999525,1.8472037914691701,-1,67.20000000000059,-68.40000000000059,-68.40000000000059
2015-05-22T12:30:00+00:00,Consumer Price Index,1,10.69895833333334,-70.5,6.589426540745785,-1,70.99999999999883,105.29999999999826,100.90000000000052
2015-06-05T12:30:00+00:00,Employment Situation (NFP),1,10.572916666666751,-97.00000000000043,9.174384236453168,-1,111.4000000000015,-26.000000000000377,-26.000000000000377
2015-06-17T18:00:00+00:00,FOMC Statement (scheduled),1,9.930208333333326,49.5000000000001,4.984789677960782,1,120.8000000000009,28.699999999998262,28.699999999998262
2015-06-18T12:30:00+00:00,Consumer Price Index,1,13.909374999999946,3.1999999999987594,0.23006066052563626,1,2.9999999999996696,-4.19999999999967,-4.19999999999967
2015-07-02T12:30:00+00:00,Employment Situation (NFP),1,9.183333333333358,40.000000000000036,4.355716878402896,1,40.000000000000036,12.700000000000024,12.700000000000024
2015-07-17T12:30:00+00:00,Consumer Price Index,1,9.238541666666544,-12.299999999998423,1.3313789604237956,-1,12.699999999998823,-13.899999999998823,-13.899999999998823
2015-07-29T18:00:00+00:00,FOMC Statement (scheduled),1,9.791666666666861,3.2999999999994145,0.3370212765956782,1,14.899999999999913,-16.099999999999913,-16.099999999999913
2015-08-07T12:30:00+00:00,Employment Situation (NFP),1,8.470833333333363,-30.100000000001792,3.5533694048206614,-1,45.40000000000211,66.90000000000427,8.59999999999981
2015-08-19T12:30:00+00:00,Consumer Price Index,1,7.738541666666618,-6.399999999999739,0.8270292098532492,-1,27.399999999999647,-28.599999999999646,-28.599999999999646
2015-09-04T12:30:00+00:00,Employment Situation (NFP),1,8.621874999999932,-9.900000000000464,1.1482421167090153,-1,48.99999999999905,37.5000000000004,37.5000000000004
2015-09-16T12:30:00+00:00,Consumer Price Index,1,8.477083333333265,8.399999999999519,0.9909068567215045,1,11.499999999999844,16.049999999999766,27.54999999999961
2015-09-17T18:00:00+00:00,FOMC Statement (scheduled),1,9.458333333333217,55.800000000001404,5.89955947136586,1,59.80000000000096,-6.700000000000505,-6.700000000000505
2015-10-02T12:30:00+00:00,Employment Situation (NFP),1,7.575000000000104,53.300000000000566,7.036303630363014,1,59.70000000000031,-17.599999999998637,-17.599999999998637
2015-10-15T12:30:00+00:00,Consumer Price Index,1,10.030208333333308,-60.99999999999994,6.081628414165551,-1,60.09999999999849,-61.29999999999849,-61.29999999999849
2015-10-28T18:00:00+00:00,FOMC Statement (scheduled),1,7.338541666666564,-48.50000000000021,6.608942512420277,-1,73.09999999999928,7.499999999999264,7.499999999999264
2015-11-06T13:30:00+00:00,Employment Situation (NFP),1,8.644791666666425,-66.70000000000175,7.715628388962945,-1,71.4999999999999,-12.400000000000098,-12.400000000000098
2015-11-17T13:30:00+00:00,Consumer Price Index,1,6.782291666666459,4.100000000000215,0.6045154354170368,1,16.00000000000046,22.8000000000018,-1.2
2015-12-04T13:30:00+00:00,Employment Situation (NFP),1,13.315625000000058,-45.100000000000136,3.3869983571931432,-1,45.2000000000008,-46.4000000000008,-46.4000000000008
2015-12-15T13:30:00+00:00,Consumer Price Index,1,9.825000000000042,-5.60000000000116,0.5699745547074947,-1,9.200000000000319,-10.400000000000318,-10.400000000000318
2015-12-16T19:00:00+00:00,FOMC Statement (scheduled),1,9.828124999999831,-15.499999999999403,1.5771065182829553,-1,14.300000000000423,-15.500000000000423,-15.500000000000423
2016-01-08T13:30:00+00:00,Employment Situation (NFP),1,11.174999999999958,0.7999999999985796,0.07158836689025347,1,28.89999999999837,-30.09999999999837,-30.09999999999837
2016-01-20T13:30:00+00:00,Consumer Price Index,1,12.12812499999984,2.60000000000149,0.21437773769659565,1,7.600000000000939,10.20000000000141,17.80000000000235
2016-01-27T19:00:00+00:00,FOMC Statement (scheduled),1,12.433333333333348,-14.799999999999258,1.1903485254691077,-1,27.49999999999808,-4.19999999999967,-4.19999999999967
2016-02-05T13:30:00+00:00,Employment Situation (NFP),1,13.041666666666503,-46.39999999999978,3.557827476038366,-1,85.19999999999861,-6.300000000000105,-6.300000000000105
2016-02-19T13:30:00+00:00,Consumer Price Index,1,13.288541666666664,-17.300000000000093,1.3018734812260009,-1,17.899999999999583,-19.099999999999582,-19.099999999999582
2016-03-04T13:30:00+00:00,Employment Situation (NFP),1,11.509375000000158,-19.400000000000528,1.6855824056475925,-1,32.70000000000106,-33.900000000001064,-33.900000000001064
2016-03-16T12:30:00+00:00,Consumer Price Index,1,10.662499999999863,-19.299999999999873,1.8100820633059902,-1,19.400000000000528,-20.600000000000527,-20.600000000000527
2016-03-16T18:00:00+00:00,FOMC Statement (scheduled),1,10.698958333333227,92.00000000000097,8.598967968065603,1,92.00000000000097,28.899999999999572,28.899999999999572
2016-04-01T12:30:00+00:00,Employment Situation (NFP),1,12.79479166666662,-46.200000000000685,3.610844256289247,-1,46.599999999998865,68.6999999999983,43.49999999999974
2016-04-14T12:30:00+00:00,Consumer Price Index,1,13.413541666666834,49.69999999999919,3.7052108410342957,1,52.39999999999911,-30.599999999999426,-30.599999999999426
2016-04-27T18:00:00+00:00,FOMC Statement (scheduled),1,10.741666666666609,-19.799999999998708,1.8432893716057859,-1,37.799999999998946,-32.40000000000012,-32.40000000000012
