event_time,title,k,atr_pips,impulse_pips,atr_mult,direction,risk_pips,pnl_1.5,pnl_2.5
2015-01-09T13:30:00+00:00,Employment Situation (NFP),1,7.764583333333408,-50.499999999999986,6.503890528575198,-1,60.80000000000085,-62.00000000000085,-62.00000000000085
2015-01-16T13:30:00+00:00,Consumer Price Index,1,14.187499999999964,-12.499999999999734,0.8810572687224504,-1,22.499999999998632,32.549999999996835,55.04999999999769
2015-01-28T19:00:00+00:00,FOMC Statement (scheduled),1,10.468750000000004,24.199999999998667,2.3116417910446483,1,42.10000000000047,-43.30000000000047,-43.30000000000047
2015-02-06T13:30:00+00:00,Employment Situation (NFP),1,9.302083333333234,-67.50000000000034,7.256438969764952,-1,74.49999999999957,54.200000000001,54.200000000001
2015-02-26T13:30:00+00:00,Consumer Price Index,1,6.330208333333332,-22.500000000000853,3.554385387526876,-1,27.200000000000557,39.60000000000083,66.80000000000139
2015-03-06T13:30:00+00:00,Employment Situation (NFP),1,9.811458333333217,-98.19999999999939,10.00870580741061,-1,108.80000000000001,30.100000000000772,30.100000000000772
2015-03-18T18:00:00+00:00,FOMC Statement (scheduled),1,9.098958333333407,77.50000000000145,8.517458500286295,1,117.30000000000018,174.75000000000028,292.05000000000047
2015-03-24T12:30:00+00:00,Consumer Price Index,1,14.91666666666669,21.599999999999397,1.4480446927373876,1,77.4000000000008,-78.6000000000008,-78.6000000000008
2015-04-03T12:30:00+00:00,Employment Situation (NFP),1,8.60624999999999,105.29999999999929,12.235294117646989,1,109.69999999999925,10.100000000000755,10.100000000000755
2015-04-17T12:30:00+00:00,Consumer Price Index,1,14.385416666666515,-47.999999999999154,3.336712527154212,-1,70.99999999999883,-37.59999999999866,-37.59999999999866
2015-04-29T18:00:00+00:00,FOMC Statement (scheduled),1,13.034374999999928,-42.19999999999891,3.2375929033804183,-1,43.999999999999595,24.400000000001178,24.400000000001178
2015-05-08T12:30:00+00:00,Employment Situation (NFP),1,13.317708333333334,-55.99999999999827,4.204927649589233,-1,77.39999999999858,8.900000000001775,8.900000000001775
2015-05-22T12:30:00+00:00,Consumer Price Index,1,10.181249999999855,-73.80000000000165,7.248618784530652,-1,77.0000000000004,114.29999999999949,123.29999999999849
2015-06-05T12:30:00+00:00,Employment Situation (NFP),1,13.983333333333254,-159.9000000000017,11.435041716329149,-1,175.6000000000002,-8.299999999999883,-8.299999999999883
2015-06-17T18:00:00+00:00,FOMC Statement (scheduled),1,8.837499999999956,42.10000000000047,4.76379066478084,1,99.70000000000034,47.70000000000061,47.70000000000061
2015-06-18T12:30:00+00:00,Consumer Price Index,1,13.182291666666753,13.900000000000023,1.0544448834452735,1,13.600000000000279,-14.800000000000278,-14.800000000000278
2015-07-02T12:30:00+00:00,Employment Situation (NFP),1,9.548958333333418,30.200000000000227,3.16264863095887,1,30.29999999999866,8.20000000000163,8.20000000000163
2015-07-17T12:30:00+00:00,Consumer Price Index,1,9.043750000000012,-20.599999999999508,2.2778161713890235,-1,23.100000000000342,33.450000000000514,31.400000000000407
