sample_idx,anchor_ts,weak_label,predicted_label,offset,ts,open,high,low,close,volume
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-50,2024-01-24T08:00:00+00:00,1.08733,1.09077,1.08625,1.08927,80575.03
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-49,2024-01-24T12:00:00+00:00,1.08928,1.09323,1.08874,1.09007,121981.27
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-48,2024-01-24T16:00:00+00:00,1.09007,1.09086,1.08813,1.08883,66384.72
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-47,2024-01-24T20:00:00+00:00,1.08882,1.08905,1.08776,1.0881,21999.43
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-46,2024-01-25T00:00:00+00:00,1.08811,1.08818,1.08702,1.08778,27701.92
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-45,2024-01-25T04:00:00+00:00,1.08777,1.08913,1.08744,1.08878,20548.16
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-44,2024-01-25T08:00:00+00:00,1.08877,1.08996,1.08828,1.08948,52964.13
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-43,2024-01-25T12:00:00+00:00,1.08949,1.09018,1.08293,1.08317,170131.48
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-42,2024-01-25T16:00:00+00:00,1.08316,1.08519,1.08216,1.08359,76395.1
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-41,2024-01-25T20:00:00+00:00,1.08358,1.08479,1.08334,1.08454,16338.54
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-40,2024-01-26T00:00:00+00:00,1.08455,1.08488,1.08373,1.08449,25538.67
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-39,2024-01-26T04:00:00+00:00,1.08449,1.08449,1.08128,1.08194,38861.76
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-38,2024-01-26T08:00:00+00:00,1.08193,1.08761,1.08173,1.08745,72776.39
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-37,2024-01-26T12:00:00+00:00,1.08745,1.08854,1.0855,1.08641,102966.86
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-36,2024-01-26T16:00:00+00:00,1.0864,1.08704,1.08537,1.08581,39554.89
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-35,2024-01-26T20:00:00+00:00,1.08582,1.08622,1.08502,1.08504,8943.89
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-34,2024-01-28T20:00:00+00:00,1.08468,1.0849,1.08414,1.08422,11513.13
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-33,2024-01-29T00:00:00+00:00,1.08423,1.08489,1.08393,1.08451,20764.46
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-32,2024-01-29T04:00:00+00:00,1.08452,1.085,1.08349,1.08371,24579.5
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-31,2024-01-29T08:00:00+00:00,1.0837,1.08418,1.08139,1.08228,48698.42
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-30,2024-01-29T12:00:00+00:00,1.08228,1.08368,1.07962,1.07972,63012.81
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-29,2024-01-29T16:00:00+00:00,1.07974,1.08199,1.07958,1.08189,34503.17
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-28,2024-01-29T20:00:00+00:00,1.08189,1.08404,1.08189,1.08336,29677.44
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-27,2024-01-30T00:00:00+00:00,1.08336,1.08422,1.08299,1.08305,27562.06
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-26,2024-01-30T04:00:00+00:00,1.08307,1.08335,1.08119,1.08227,35570.43
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-25,2024-01-30T08:00:00+00:00,1.08228,1.08481,1.08162,1.08419,59727.99
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-24,2024-01-30T12:00:00+00:00,1.08418,1.08573,1.08281,1.08369,103710.16
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-23,2024-01-30T16:00:00+00:00,1.08368,1.08471,1.08315,1.08459,43383.12
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-22,2024-01-30T20:00:00+00:00,1.0846,1.08485,1.08399,1.08428,19335.18
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-21,2024-01-31T00:00:00+00:00,1.08429,1.08481,1.08159,1.08186,35802.3
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-20,2024-01-31T04:00:00+00:00,1.08185,1.08222,1.0806,1.0816,27969.7
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-19,2024-01-31T08:00:00+00:00,1.08159,1.08404,1.08092,1.08389,66833.13
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-18,2024-01-31T12:00:00+00:00,1.0839,1.08874,1.08335,1.08613,127931.75
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-17,2024-01-31T16:00:00+00:00,1.08611,1.08678,1.08157,1.08403,125698.53
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-16,2024-01-31T20:00:00+00:00,1.08402,1.08417,1.07949,1.08039,60423.53
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-15,2024-02-01T00:00:00+00:00,1.08039,1.08217,1.08016,1.08116,35451.87
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-14,2024-02-01T04:00:00+00:00,1.08117,1.08135,1.07838,1.07932,37906.98
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-13,2024-02-01T08:00:00+00:00,1.07932,1.08132,1.07799,1.08083,74065.88
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-12,2024-02-01T12:00:00+00:00,1.08084,1.08318,1.08056,1.08264,152780.61
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-11,2024-02-01T16:00:00+00:00,1.08263,1.08748,1.08263,1.08718,97918.44
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-10,2024-02-01T20:00:00+00:00,1.08719,1.08761,1.08668,1.08742,22062.38
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-9,2024-02-02T00:00:00+00:00,1.08741,1.08796,1.08701,1.08767,29364.03
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-8,2024-02-02T04:00:00+00:00,1.08765,1.08869,1.08719,1.08808,35696.04
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-7,2024-02-02T08:00:00+00:00,1.08809,1.08974,1.08735,1.08835,49640.17
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-6,2024-02-02T12:00:00+00:00,1.08837,1.0886,1.07832,1.08023,139884.1
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-5,2024-02-02T16:00:00+00:00,1.08024,1.08037,1.07804,1.07925,73009.2
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-4,2024-02-02T20:00:00+00:00,1.07926,1.07974,1.07849,1.07849,14091.94
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-3,2024-02-04T20:00:00+00:00,1.07854,1.07858,1.07698,1.07796,10488.33
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-2,2024-02-05T00:00:00+00:00,1.07796,1.07831,1.07673,1.07791,42380.3
0,2024-02-05T08:00:00+00:00,vol_spike,chop,-1,2024-02-05T04:00:00+00:00,1.0779,1.07847,1.07726,1.07802,29496.07
0,2024-02-05T08:00:00+00:00,vol_spike,chop,0,2024-02-05T08:00:00+00:00,1.07802,1.07861,1.07469,1.07548,57594.72
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-50,2024-01-24T12:00:00+00:00,1.08928,1.09323,1.08874,1.09007,121981.27
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-49,2024-01-24T16:00:00+00:00,1.09007,1.09086,1.08813,1.08883,66384.72
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-48,2024-01-24T20:00:00+00:00,1.08882,1.08905,1.08776,1.0881,21999.43
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-47,2024-01-25T00:00:00+00:00,1.08811,1.08818,1.08702,1.08778,27701.92
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-46,2024-01-25T04:00:00+00:00,1.08777,1.08913,1.08744,1.08878,20548.16
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-45,2024-01-25T08:00:00+00:00,1.08877,1.08996,1.08828,1.08948,52964.13
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-44,2024-01-25T12:00:00+00:00,1.08949,1.09018,1.08293,1.08317,170131.48
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-43,2024-01-25T16:00:00+00:00,1.08316,1.08519,1.08216,1.08359,76395.1
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-42,2024-01-25T20:00:00+00:00,1.08358,1.08479,1.08334,1.08454,16338.54
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-41,2024-01-26T00:00:00+00:00,1.08455,1.08488,1.08373,1.08449,25538.67
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-40,2024-01-26T04:00:00+00:00,1.08449,1.08449,1.08128,1.08194,38861.76
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-39,2024-01-26T08:00:00+00:00,1.08193,1.08761,1.08173,1.08745,72776.39
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-38,2024-01-26T12:00:00+00:00,1.08745,1.08854,1.0855,1.08641,102966.86
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-37,2024-01-26T16:00:00+00:00,1.0864,1.08704,1.08537,1.08581,39554.89
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-36,2024-01-26T20:00:00+00:00,1.08582,1.08622,1.08502,1.08504,8943.89
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-35,2024-01-28T20:00:00+00:00,1.08468,1.0849,1.08414,1.08422,11513.13
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-34,2024-01-29T00:00:00+00:00,1.08423,1.08489,1.08393,1.08451,20764.46
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-33,2024-01-29T04:00:00+00:00,1.08452,1.085,1.08349,1.08371,24579.5
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-32,2024-01-29T08:00:00+00:00,1.0837,1.08418,1.08139,1.08228,48698.42
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-31,2024-01-29T12:00:00+00:00,1.08228,1.08368,1.07962,1.07972,63012.81
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-30,2024-01-29T16:00:00+00:00,1.07974,1.08199,1.07958,1.08189,34503.17
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-29,2024-01-29T20:00:00+00:00,1.08189,1.08404,1.08189,1.08336,29677.44
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-28,2024-01-30T00:00:00+00:00,1.08336,1.08422,1.08299,1.08305,27562.06
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-27,2024-01-30T04:00:00+00:00,1.08307,1.08335,1.08119,1.08227,35570.43
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-26,2024-01-30T08:00:00+00:00,1.08228,1.08481,1.08162,1.08419,59727.99
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-25,2024-01-30T12:00:00+00:00,1.08418,1.08573,1.08281,1.08369,103710.16
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-24,2024-01-30T16:00:00+00:00,1.08368,1.08471,1.08315,1.08459,43383.12
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-23,2024-01-30T20:00:00+00:00,1.0846,1.08485,1.08399,1.08428,19335.18
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-22,2024-01-31T00:00:00+00:00,1.08429,1.08481,1.08159,1.08186,35802.3
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-21,2024-01-31T04:00:00+00:00,1.08185,1.08222,1.0806,1.0816,27969.7
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-20,2024-01-31T08:00:00+00:00,1.08159,1.08404,1.08092,1.08389,66833.13
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-19,2024-01-31T12:00:00+00:00,1.0839,1.08874,1.08335,1.08613,127931.75
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-18,2024-01-31T16:00:00+00:00,1.08611,1.08678,1.08157,1.08403,125698.53
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-17,2024-01-31T20:00:00+00:00,1.08402,1.08417,1.07949,1.08039,60423.53
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-16,2024-02-01T00:00:00+00:00,1.08039,1.08217,1.08016,1.08116,35451.87
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-15,2024-02-01T04:00:00+00:00,1.08117,1.08135,1.07838,1.07932,37906.98
1,2024-02-05T12:00:00+00:00,vol_spike,trending,-14,2024-02-01T08:00:00+00:00,1.07932,1.08132,1.07799,1.08083,74065.88
